hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,87364,1.9410430839002268,2.941043083900227,775.1953125,0.005092678825581178,50.238433187716524,0.9738901816229619,-7.343399433031366,-24.804889354765947,,2.141043083900227,2.283718820861678
2,210021,4.722380952380952,5.722380952380952,785.9619140625,0.3266426035102947,49.93248298144292,0.9849153531517679,-11.84513521845074,-1613.0736556581571,,5.1223809523809525,5.122743764172336
3,329138,7.423446712018141,8.42344671201814,796.728515625,0.12156624055090517,54.1994606290872,0.9810924269386715,-10.055435892860304,-608.5597374648337,,7.793061224489796,7.794716553287982
4,458615,10.359433106575963,11.359433106575963,796.728515625,0.033443420677732816,51.54838664751824,0.21688465405771873,-13.232401295970893,-167.41752657099445,low_r2,10.759433106575964,10.759795918367347
5,585060,13.226666666666667,14.226666666666667,796.728515625,0.2943665400905503,51.8691417400414,0.9985383790336142,-12.243599722321036,-1473.5968106287125,,13.626666666666667,13.62702947845805
6,712107,16.107551020408163,17.107551020408163,796.728515625,0.05278823776900792,50.5408263456163,0.9665466177997115,-10.705538092398506,-264.2575436433489,,16.357437641723354,16.359138321995463
7,834935,18.8927664399093,19.8927664399093,796.728515625,0.1659333367607298,56.93935243348339,0.9996337220448959,-11.292851049992406,-830.6611062261863,,19.292766439909297,19.29312925170068
8,962204,21.778684807256237,22.778684807256237,796.728515625,0.09254364372738443,53.38073348124553,0.9990000963206666,-10.426672848381648,-463.2728237342602,,22.038548752834465,22.040204081632652
9,1085184,24.56734693877551,25.56734693877551,796.728515625,0.1294932554719677,53.75629078721255,0.9996518297419108,-10.648593034414638,-648.2423179031222,,24.917006802721087,24.917913832199545
10,1207206,27.334285714285716,28.334285714285716,796.728515625,0.10399055681592459,54.307662996869226,0.993089417986694,-10.35737478918584,-520.5759894188792,,27.698911564625853,27.70045351473923
11,1332182,30.168208616780046,31.168208616780046,796.728515625,0.05692581666250688,52.951948643921824,0.985499315350673,-10.575902243424785,-284.9702342205769,,30.423083900226757,30.42532879818594
