Time (s),Amplitude
0.0,-21
2.2678268018149702e-05,-29
4.5356536036299404e-05,-11
6.80348040544491e-05,-30
9.071307207259881e-05,-30
0.00011339134009074852,-30
0.0001360696081088982,-30
0.0001587478761270479,-30
0.00018142614414519762,-10
0.00020410441216334733,-41
0.00022678268018149703,-18
0.00024946094819964674,-33
0.0002721392162177964,-18
0.0002948174842359461,-22
0.0003174957522540958,-19
0.0003401740202722455,-22
0.00036285228829039523,-19
0.00038553055630854494,-22
0.00040820882432669465,-18
0.00043088709234484436,-23
0.00045356536036299407,-18
0.0004762436283811437,-22
0.0004989218963992935,-20
0.0005216001644174432,-20
0.0005442784324355928,-21
0.0005669567004537425,-29
0.0005896349684718922,-30
0.0006123132364900419,-21
0.0006349915045081916,-20
0.0006576697725263413,-21
0.000680348040544491,-20
0.0007030263085626408,-20
0.0007257045765807905,-21
0.0007483828445989402,-20
0.0007710611126170899,-30
0.0007937393806352396,-30
0.0008164176486533893,-11
0.000839095916671539,-29
0.0008617741846896887,-31
0.0008844524527078384,-29
0.0009071307207259881,-30
0.0009298089887441377,-21
0.0009524872567622874,-20
0.0009751655247804372,-30
0.000997843792798587,-20
0.0010205220608167367,-11
0.0010432003288348864,-30
0.001065878596853036,-21
0.0010885568648711856,-30
0.0011112351328893353,-28
0.001133913400907485,-23
0.0011565916689256347,-18
0.0011792699369437844,-22
0.0012019482049619341,-11
0.0012246264729800838,-28
0.0012473047409982336,-23
0.0012699830090163833,-18
0.001292661277034533,-23
0.0013153395450526827,-36
0.0013380178130708324,-15
0.001360696081088982,-16
0.0013833743491071318,-15
0.0014060526171252815,-17
0.0014287308851434312,-32
0.001451409153161581,-30
0.0014740874211797306,-28
0.0014967656891978804,-13
0.00151944395721603,-38
0.0015421222252341798,-29
0.0015648004932523295,-43
0.0015874787612704792,-35
0.001610157029288629,-24
0.0016328352973067786,-18
0.0016555135653249283,-40
0.001678191833343078,-11
0.0017008701013612277,-30
0.0017235483693793774,-39
0.0017462266373975271,-30
0.0017689049054156769,-30
0.0017915831734338266,-21
0.0018142614414519763,-19
0.0018369397094701258,-31
0.0018596179774882755,-20
0.0018822962455064252,-20
0.001904974513524575,-12
0.0019276527815427246,-19
0.0019503310495608743,-12
0.0019730093175790242,-30
0.001995687585597174,-19
0.0020183658536153237,-22
0.0020410441216334734,-19
0.002063722389651623,-32
0.0020864006576697728,-17
0.0021090789256879225,-15
0.002131757193706072,-7
0.002154435461724222,-24
0.002177113729742371,-8
0.002199791997760521,-22
0.0022224702657786706,-20
0.0022451485337968203,-11
0.00226782680181497,-2
0.0022905050698331197,-9
0.0023131833378512694,-23
0.002335861605869419,-27
0.002358539873887569,-32
0.0023812181419057186,-20
0.0024038964099238683,0
0.002426574677942018,-22
0.0024492529459601677,-20
0.0024719312139783174,-20
0.002494609481996467,-21
0.002517287750014617,-29
0.0025399660180327665,-30
0.0025626442860509162,-22
0.002585322554069066,-9
0.0026080008220872157,-13
0.0026306790901053654,-18
0.002653357358123515,-22
0.0026760356261416648,-29
0.0026987138941598145,-12
0.002721392162177964,-19
0.002744070430196114,-21
0.0027667486982142636,-21
0.0027894269662324133,-19
0.002812105234250563,-22
0.0028347835022687127,-19
0.0028574617702868624,-20
0.002880140038305012,-32
0.002902818306323162,-9
0.0029254965743413116,-31
0.0029481748423594613,-29
0.002970853110377611,-12
0.0029935313783957607,-28
0.0030162096464139104,-42
0.00303888791443206,-18
0.00306156618245021,-22
0.0030842444504683595,-19
0.0031069227184865092,-32
0.003129600986504659,-9
0.0031522792545228087,-21
0.0031749575225409584,-30
0.003197635790559108,-29
0.003220314058577258,-22
0.0032429923265954075,-30
0.003265670594613557,-18
0.003288348862631707,-32
0.0033110271306498566,-19
0.0033337053986680063,-21
0.003356383666686156,-41
0.0033790619347043058,-27
0.0034017402027224555,-32
0.003424418470740605,-29
0.003447096738758755,-30
0.0034697750067769046,-31
0.0034924532747950543,-19
0.003515131542813204,-11
0.0035378098108313537,-31
0.0035604880788495034,-10
0.003583166346867653,-21
0.003605844614885803,-30
0.0036285228829039525,-19
0.003651201150922102,-32
0.0036738794189402515,-9
0.0036965576869584012,-41
0.003719235954976551,-19
0.0037419142229947007,-12
0.0037645924910128504,-20
0.003787270759031,-30
0.00380994902704915,-29
0.0038326272950672995,-22
0.003855305563085449,-19
0.003877983831103599,-21
0.0039006620991217486,-12
0.003923340367139898,-27
0.0039460186351580485,-33
0.003968696903176198,-8
0.003991375171194348,-22
0.004014053439212497,-22
0.004036731707230647,-26
0.004059409975248797,-16
0.004082088243266947,-15
0.004104766511285096,-25
0.004127444779303246,-17
0.004150123047321395,-32
0.0041728013153395456,-29
0.004195479583357695,-20
0.004218157851375845,-22
0.004240836119393994,-19
0.004263514387412144,-21
0.004286192655430294,-40
0.004308870923448444,-18
0.004331549191466593,-33
0.004354227459484742,-18
0.0043769057275028925,-51
0.004399583995521042,-28
0.004422262263539192,-21
0.004444940531557341,-30
0.004467618799575491,-39
0.004490297067593641,-31
0.004512975335611791,-19
0.00453565360362994,-39
0.00455833187164809,-33
0.0045810101396662395,-16
0.00460368840768439,-25
0.004626366675702539,-16
0.004649044943720689,-43
0.004671723211738838,-18
0.004694401479756988,-23
0.004717079747775138,-8
0.004739758015793288,-32
0.004762436283811437,-28
0.004785114551829587,-31
0.0048077928198477365,-11
0.004830471087865887,-21
0.004853149355884036,-18
0.004875827623902186,-14
0.004898505891920335,-27
0.0049211841599384855,-31
0.004943862427956635,-21
0.004966540695974785,-10
0.004989218963992934,-21
0.005011897232011084,-21
0.005034575500029234,-19
0.005057253768047384,-31
0.005079932036065533,-10
0.005102610304083683,-21
0.0051252885721018325,-20
0.005147966840119983,-21
0.005170645108138132,-20
0.005193323376156282,-30
0.005216001644174431,-29
0.0052386799121925814,-32
0.005261358180210731,-8
0.005284036448228881,-33
0.00530671471624703,-27
0.00532939298426518,-23
0.0053520712522833296,-37
0.00537474952030148,-32
0.005397427788319629,-28
0.005420106056337779,-32
0.005442784324355928,-19
0.0054654625923740785,-30
0.005488140860392228,-20
0.005510819128410378,-12
0.005533497396428527,-19
0.005556175664446677,-12
0.005578853932464827,-11
