Frequency (Hz),Magnitude
0.0,870.43828125
4.921875,500.4751042357545
9.84375,445.2030096409444
14.765625,396.5671203117069
19.6875,386.0545744502056
24.609375,373.9528076418407
29.53125,351.16689915415236
34.453125,327.82811242195925
39.375,307.516796127947
44.296875,291.72444078269643
49.21875,275.4061319763101
54.140625,254.94115055844912
59.0625,242.06083056472863
63.984375,227.7404053422484
68.90625,215.63879042014776
73.828125,207.0570068976095
78.75,196.89245973882626
83.671875,187.0871751055128
88.59375,174.57665630622807
93.515625,161.47335894479036
98.4375,146.84543914589494
103.359375,135.00607864222846
108.28125,120.47991423925995
113.203125,104.28401276600378
118.125,87.02366952452235
123.046875,72.05915755822139
127.96875,55.03611545758148
132.890625,38.69805418654272
137.8125,27.22482097616851
142.734375,19.313955500527968
147.65625,17.776520079659914
152.578125,24.355167476632392
157.5,31.565585787744528
162.421875,37.1869617009536
167.34375,39.98673697056987
172.265625,44.79885849007585
177.1875,46.84335143696637
182.109375,47.2920766843425
187.03125,46.00018639156799
191.953125,46.97063137237114
196.875,46.825813963910164
201.796875,47.07845593069597
206.71875,47.05222469803437
211.640625,48.71542082607587
216.5625,51.2064522793511
221.484375,55.19773937060948
226.40625,57.71373277800337
231.328125,59.23260347009083
236.25,61.4457885024334
241.171875,62.19381814081865
246.09375,61.9181209883619
251.015625,62.0403966438137
255.9375,60.02132984783944
260.859375,58.50118281512932
265.78125,55.565841384786296
270.703125,54.00646650987923
275.625,52.250104012220724
280.546875,50.967658025172746
285.46875,48.11882964295253
290.390625,48.91482411577329
295.3125,48.03824511114804
300.234375,49.02025253496178
305.15625,50.61592648131882
310.078125,52.521558419535815
315.0,54.06296763946211
319.921875,56.08509063393314
324.84375,58.03650627970261
329.765625,59.286838936496444
334.6875,61.092370681193124
339.609375,61.81828662474889
344.53125,62.27597435095634
349.453125,61.825574423112904
354.375,60.345450795987325
359.296875,59.171737428880704
364.21875,56.54028827375529
369.140625,55.251412719092464
374.0625,53.3304361542799
378.984375,52.86278506807511
383.90625,52.98369850999143
388.828125,52.81452949678182
393.75,53.81574787763309
398.671875,53.951318912870505
403.59375,54.65493851806813
408.515625,54.85572073136892
413.4375,55.17655351039109
418.359375,55.622482543300585
423.28125,54.15533366300618
428.203125,54.19931987929156
433.125,53.61708685170589
438.046875,52.46536310039309
442.96875,52.94312583889113
447.890625,53.0513170553025
452.8125,53.781902426342306
457.734375,54.510790548142225
462.65625,56.10838674317713
467.578125,57.046180395888676
472.5,57.14279141690257
477.421875,57.425703649609844
482.34375,57.06251497666616
487.265625,55.990348121147974
492.1875,55.16117590834981
497.109375,53.93840795860642
502.03125,52.601578966312196
506.953125,51.0467295488449
511.875,49.98159948838844
516.796875,48.27276070471731
521.71875,46.97130584377274
526.640625,45.286407578711035
531.5625,44.27683380781481
536.484375,42.85790737557545
541.40625,41.3674825589029
546.328125,39.62521473124104
551.25,36.70434094474984
556.171875,34.979666404171546
561.09375,31.92667225414446
566.015625,29.707802874838944
570.9375,26.789421510406306
575.859375,22.99754035143552
580.78125,20.10776210321729
585.703125,16.785430993319235
590.625,13.485330446566017
595.546875,9.646320845228681
600.46875,7.764489588496898
605.390625,6.0307860296985
610.3125,6.928803450379294
615.234375,9.100826241334047
620.15625,10.837401116202104
625.078125,14.240534780166026
630.0,16.401307373936998
634.921875,18.989370444614696
639.84375,21.174810825047132
