Time (s),Amplitude
0.0,24
2.2680647255293053e-05,-21
4.5361294510586106e-05,-5
6.804194176587916e-05,8
9.072258902117221e-05,-4
0.00011340323627646527,-8
0.0001360838835317583,11
0.00015876453078705137,7
0.00018144517804234443,11
0.00020412582529763748,22
0.00022680647255293054,-3
0.00024948711980822357,-10
0.0002721677670635166,13
0.0002948484143188097,6
0.00031752906157410274,-3
0.0003402097088293958,-8
0.00036289035608468885,10
0.0003855710033399819,8
0.00040825165059527496,-4
0.000430932297850568,23
0.0004536129451058611,-5
0.00047629359236115413,-6
0.0004989742396164471,8
0.0005216548868717402,-4
0.0005443355341270333,7
0.0005670161813823263,12
0.0005896968286376194,22
0.0006123774758929124,10
0.0006350581231482055,23
0.0006577387704034985,25
0.0006804194176587916,8
0.0007031000649140846,-4
0.0007257807121693777,7
0.0007484613594246708,10
0.0007711420066799638,-5
0.0007938226539352569,8
0.0008165033011905499,9
0.000839183948445843,10
0.000861864595701136,8
0.0008845452429564291,10
0.0009072258902117222,-6
0.0009299065374670152,9
0.0009525871847223083,24
0.0009752678319776013,9
0.0009979484792328943,10
0.0010206291264881874,8
0.0010433097737434804,10
0.0010659904209987736,-7
0.0010886710682540665,-5
0.0011113517155093597,10
0.0011340323627646526,23
0.0011567130100199458,9
0.0011793936572752387,-6
0.001202074304530532,9
0.0012247549517858248,-4
0.001247435599041118,-8
0.001270116246296411,11
0.0012927968935517041,-9
0.001315477540806997,13
0.0013381581880622902,6
0.0013608388353175832,27
0.0013835194825728763,-9
0.0014062001298281693,-3
0.0014288807770834625,22
0.0014515614243387554,10
0.0014742420715940484,9
0.0014969227188493415,9
0.0015196033661046345,9
0.0015422840133599276,11
0.0015649646606152206,5
0.0015876453078705137,13
0.0016103259551258067,7
0.0016330066023810999,24
0.0016556872496363928,11
0.001678367896891686,7
0.001701048544146979,10
0.001723729191402272,10
0.001746409838657565,7
0.0017690904859128582,11
0.0017917711331681511,-7
0.0018144517804234443,-5
0.0018371324276787373,-5
0.0018598130749340304,-8
0.0018824937221893234,11
0.0019051743694446165,8
0.0019278550166999095,10
0.0019505356639552027,8
0.0019732163112104956,25
0.0019958969584657885,-21
0.002018577605721082,24
0.002041258252976375,9
0.002063938900231668,-7
0.0020866195474869608,12
0.002109300194742254,5
0.002131980841997547,14
0.00215466148925284,4
0.002177342136508133,14
0.002200022783763426,-10
0.0022227034310187193,-3
0.0022453840782740123,-8
0.0022680647255293052,-4
0.002290745372784598,-6
0.0023134260200398916,23
0.0023361066672951845,-4
0.0023587873145504775,7
0.0023814679618057704,40
0.002404148609061064,-6
0.0024268292563163567,24
0.0024495099035716497,-6
0.0024721905508269426,10
0.002494871198082236,8
0.002517551845337529,-5
0.002540232492592822,9
0.002562913139848115,-7
0.0025855937871034082,-4
0.002608274434358701,8
0.002630955081613994,10
0.002653635728869287,9
0.0026763163761245805,8
0.0026989970233798734,10
0.0027216776706351664,9
0.0027443583178904593,-5
0.0027670389651457527,7
0.0027897196124010456,-3
0.0028124002596563386,-9
0.0028350809069116315,-3
0.002857761554166925,8
0.002880442201422218,9
0.002903122848677511,9
0.0029258034959328038,-5
0.0029484841431880967,8
0.00297116479044339,25
0.002993845437698683,9
0.003016526084953976,8
0.003039206732209269,10
0.0030618873794645623,24
0.0030845680267198553,-6
0.003107248673975148,-6
0.003129929321230441,9
0.0031526099684857345,25
0.0031752906157410275,-8
0.0031979712629963204,12
0.0032206519102516134,6
0.0032433325575069068,11
0.0032660132047621997,9
0.0032886938520174927,9
0.0033113744992727856,9
0.003334055146528079,9
0.003356735793783372,8
0.003379416441038665,12
0.003402097088293958,6
0.0034247777355492512,-3
0.003447458382804544,7
0.003470139030059837,-20
0.00349281967731513,9
0.0035155003245704235,-5
0.0035381809718257164,22
0.0035608616190810093,-3
0.0035835422663363023,7
0.0036062229135915957,-20
0.0036289035608468886,10
0.0036515842081021816,7
0.0036742648553574745,11
0.0036969455026127675,8
0.003719626149868061,-5
0.003742306797123354,9
0.0037649874443786467,9
0.0037876680916339397,-6
0.003810348738889233,25
0.003833029386144526,-23
0.003855710033399819,57
0.003878390680655112,-38
0.0039010713279104053,10
0.003923751975165698,114
0.003946432622420991,1258
0.003969113269676285,1396
0.003991793916931577,4697
0.0040144745641868705,6530
0.004037155211442164,9331
0.004059835858697456,11067
0.00408251650595275,14366
0.004105197153208042,14089
0.004127877800463336,10419
0.004150558447718629,10950
0.0041732390949739216,7989
0.004195919742229215,10998
0.004218600389484508,11470
0.004241281036739801,9169
0.004263961683995094,9951
0.004286642331250387,5311
0.00430932297850568,3642
0.0043320036257609735,7436
0.004354684273016266,7024
0.004377364920271559,4950
0.004400045567526852,3047
0.004422726214782145,3390
0.004445406862037439,3520
0.004468087509292731,3481
0.0044907681565480246,2567
0.004513448803803318,1544
0.0045361294510586105,1588
0.004558810098313904,3208
0.004581490745569196,3391
0.00460417139282449,3461
0.004626852040079783,5817
0.004649532687335076,6603
0.004672213334590369,5638
0.004694893981845662,5665
0.004717574629100955,5118
0.004740255276356248,4324
0.004762935923611541,4806
0.004785616570866834,4041
0.004808297218122128,3733
0.00483097786537742,3610
0.0048536585126327135,3332
0.004876339159888007,3490
0.004899019807143299,3644
0.004921700454398593,4118
0.004944381101653885,3178
0.004967061748909179,2335
0.004989742396164472,3058
0.0050124230434197645,4582
0.005035103690675058,10742
0.005057784337930351,14302
0.005080464985185644,14555
0.005103145632440937,13348
0.00512582627969623,10149
0.005148506926951523,7452
0.0051711875742068165,4431
0.005193868221462109,5682
0.005216548868717402,5339
0.005239229515972695,4356
0.005261910163227988,10982
0.005284590810483282,10177
0.005307271457738574,8511
0.0053299521049938675,7735
0.005352632752249161,8080
0.0053753133995044534,9655
0.005397994046759747,6665
