hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,167050,3.7479818594104306,4.747981859410431,398.3642578125,0.0017039188766207998,2.5478153596475046,0.9939515096643563,-3.033444676659533,-4.264902901984195,,4.1479818594104305,4.148344671201814
2,437355,9.87734693877551,10.87734693877551,398.3642578125,0.000967046044516284,3.4948266533072703,0.9340652355368184,-2.9248319746715885,-2.4205128179513067,low_r2,10.27734693877551,10.277709750566894
3,675950,15.28766439909297,16.28766439909297,398.3642578125,0.0014086385290851596,2.203827034779243,0.9005945539656337,-2.940773681114943,-3.5258172398773393,low_r2,15.68766439909297,15.688027210884353
4,927661,20.995396825396828,21.995396825396828,398.3642578125,0.001886738034714282,3.818334352456888,0.9234165415464551,-2.83485535902119,-4.722498605975401,low_r2,21.395396825396826,21.39575963718821
5,1218880,27.5990022675737,28.5990022675737,150.732421875,0.00994978049444989,2.1688315111524084,0.34929785145504855,-3.735818620156813,-9.423235508224945,low_r2,27.999002267573697,27.99936507936508
6,1431745,32.425873015873016,33.425873015873016,398.3642578125,0.0014969377186719764,4.409352710747436,0.9911148691874313,-2.5311208325629515,-3.7468297980916794,,32.825873015873015,32.8262358276644
7,1671941,37.87249433106576,38.87249433106576,150.732421875,0.06887861439849162,1.7535697265603403,0.9993872833667488,-2.2613153002905406,-65.2335401086741,,38.27249433106576,38.27285714285714
8,1901352,43.07455782312925,44.07455782312925,150.732421875,-0.2948562191027832,1.9873289909931842,0.9996251771220483,-3.4189411885887315,279.25235086544694,bad_zeta,43.474557823129246,43.47492063492063
9,2112908,47.87174603174603,48.87174603174603,150.732421875,0.12708869864328812,3.3374700192260813,0.9811133888732778,-2.1399406084573482,-120.36313146984101,,48.08172335600907,48.08437641723356
10,2333430,52.872244897959185,53.872244897959185,398.3642578125,0.0009646860889717835,2.6255011457289483,0.9645038604126266,-2.7039558702841555,-2.4146058575975045,,53.27224489795918,53.27260770975057
11,2549163,57.764149659863946,58.764149659863946,150.732421875,-0.6420168537022617,3.0305676147087146,0.9990836803307318,-4.104210480098185,608.0411538787923,bad_zeta,58.164149659863945,58.16451247165533
