hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,152749,3.4236961451247163,4.423696145124716,150.732421875,0.17846289705813728,11.155310927656409,0.9951521976910306,-1.7122216921774012,-169.01859386717163,,3.628684807256236,3.630385487528345
2,295989,6.671768707482993,7.671768707482993,150.732421875,0.1237920895603659,10.384603980972251,0.9996195137540329,-1.8103457973748347,-117.24097980184615,,7.071768707482994,7.072131519274377
3,551871,12.47408163265306,13.47408163265306,150.732421875,0.08652757833212948,8.834846872882679,0.9953305302857438,-1.3280809122247184,-81.94851625469136,,12.694036281179137,12.695850340136055
4,744341,16.838480725623583,17.838480725623583,150.732421875,0.09687833342610963,9.980055216710564,0.9996075158819586,-0.8699377900908403,-91.75150668176074,,17.0434693877551,17.044308390022675
5,976222,22.096553287981862,23.096553287981862,150.732421875,0.1405555547244162,10.200505463787827,0.9999302808558332,-1.5157905263125928,-133.11731800477295,,22.49655328798186,22.496916099773244
6,1197636,27.11727891156463,28.11727891156463,150.732421875,0.10360557313311748,10.034923615680658,0.9817333920832885,-0.8326154770412203,-98.12273910390093,,27.5168253968254,27.522380952380953
7,1435950,32.52122448979592,33.52122448979592,150.732421875,0.11409204143825732,10.700911382267932,0.9941549121365436,-1.005141549028265,-108.05426076349838,,32.72621315192744,32.72827664399093
8,1680604,38.06893424036281,39.06893424036281,150.732421875,0.10206103252440753,10.86079008192941,0.9996248621759987,-1.3436909266431742,-96.65993598819303,,38.468934240362806,38.46929705215419
9,1909535,43.26011337868481,44.26011337868481,150.732421875,0.07980216597388287,9.612663936986866,0.9953008900680792,-0.6796814403737367,-75.57901447753801,,43.465102040816326,43.46714285714286
10,2142891,48.55163265306122,49.55163265306122,150.732421875,0.15675806203112883,9.541303199833376,0.9998408718001708,-1.5396272893161826,-148.4623843868962,,48.95163265306122,48.9519954648526
