hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,244267,5.498934240362812,9.49893424036281,150.732421875,0.9888501930691274,26.37179159321208,0.9962578207102742,-4.2655988430799345,-936.5199822088418,,6.043378684807256,6.044489795918367
2,691369,15.637301587301588,19.637301587301586,150.732421875,1.1236886502316878,28.558519512698698,0.9817688411345468,-4.990445993690526,-1064.222752950093,,16.67562358276644,16.676598639455783
3,1166233,26.405192743764175,30.405192743764175,150.732421875,0.5702367262506812,24.902423555129896,0.9683091431535618,-2.8855363911624927,-540.0596495467169,,26.87979591836735,26.88231292517007
4,1581533,35.822426303854876,39.822426303854876,150.732421875,0.8203103108122015,20.98004905798778,0.9783436552227666,-3.3317522359094913,-776.8992746041437,,36.267097505668936,36.26850340136055
5,1978776,44.83020408163265,48.83020408163265,150.732421875,1.1262752082420686,28.92614165555044,0.9756768346444786,-3.7754243872561553,-1066.672429634026,,45.13519274376417,45.13628117913832
6,2402402,54.4362358276644,58.4362358276644,150.732421875,0.4125400322175983,24.91230417894353,0.9630752360265175,-2.7682278112626597,-390.70830580891794,,55.20018140589569,55.20387755102041
7,2819328,63.89034013605442,67.89034013605442,150.732421875,0.5493610370022657,24.713186088169582,0.966848211375873,-3.5998636013662115,-520.2887072335603,,64.66925170068028,64.67179138321995
8,3185653,72.19702947845805,76.19702947845805,150.732421875,0.493269942309607,26.230413701661632,0.953991684837363,-2.8357451696891087,-467.1659679431904,,73.09566893424035,73.09888888888888
9,3626352,82.19020408163266,86.19020408163266,150.732421875,0.38770024924017393,25.207455190022316,0.9903231636002614,-2.79324761399392,-367.1830506437378,,82.49519274376418,82.49678004535147
10,4046447,91.71616780045352,95.71616780045352,150.732421875,0.40637034678642875,21.124358777820895,0.9932088145323944,-2.776999329887639,-384.8651217445052,,92.07603174603175,92.07907029478459
