hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,197815,4.445600907029478,5.445600907029478,775.1953125,0.0031435144319080528,50.6938494374263,0.9995661313024167,-3.0091515963407875,-15.31110253348653,,4.645600907029478,5.100226757369614
2,342733,7.73172335600907,8.73172335600907,775.1953125,0.003122991567890922,47.95109252167731,0.999456932355485,-3.3150061691258856,-15.211141905961636,,7.93172335600907,8.376235827664399
3,476149,10.75702947845805,11.75702947845805,775.1953125,0.0032570453488401526,49.93081603635681,0.9993912524824576,-3.3505261520768244,-15.86407709349611,,10.95702947845805,11.364580498866212
4,613978,13.882403628117913,14.882403628117913,775.1953125,0.003344274777207554,46.871716174867785,0.9992731194027039,-3.7085651289079866,-16.288945103680504,,14.082403628117914,14.472585034013605
5,744323,16.838072562358278,17.838072562358278,775.1953125,0.0032768972347416636,46.37592176883089,0.9992721279052411,-3.624387246586099,-15.96076959073291,,17.038072562358277,17.469455782312924
6,872002,19.733287981859412,20.733287981859412,775.1953125,0.0033643588710521055,44.64464395571731,0.9971173502781303,-3.8627771611812807,-16.386768615169665,,19.93328798185941,20.260181405895693
7,989391,22.395170068027213,23.395170068027213,775.1953125,0.0036148465691770554,46.77593597917796,0.997593626310612,-4.176983233647763,-17.606817993801023,,22.595170068027212,22.883378684807255
8,1107415,25.071451247165534,26.071451247165534,775.1953125,0.0034993204331973775,47.659308643451965,0.9996539307903549,-4.189453146758812,-17.044125328760924,,25.271451247165533,25.565850340136056
9,1238948,28.0540589569161,29.0540589569161,775.1953125,0.0034606639076737757,45.77808984551693,0.9994175905846464,-4.146518597438313,-16.855841152339647,,28.2540589569161,28.570680272108845
10,1354034,30.66371882086168,31.66371882086168,775.1953125,0.003511197075440875,45.07012501099319,0.9992164368870753,-4.424100888050729,-17.10197284022705,,30.863718820861678,31.163832199546484
11,1465138,33.183083900226755,34.183083900226755,775.1953125,0.0035506247460003505,45.47328773182076,0.997577703364274,-4.343232277976972,-17.294013029533968,,33.38308390022676,33.729024943310655
12,1582858,35.8524716553288,36.8524716553288,775.1953125,0.0036812156374980078,49.20822325201143,0.9993096920399451,-4.505062016145471,-17.930081535968785,,36.0524716553288,36.369387755102046
