hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,8405,0.15058956916099775,1.1505895691609977,150.732421875,0.15403493792684048,8.687552534918922,0.9857343352367243,-1.9225866440669022,-145.8833687224655,,0.39049886621315194,0.3931519274376417
2,315816,7.121360544217687,8.121360544217687,150.732421875,0.0452500822797787,8.928561951407142,0.7609815223074169,-4.522524871749879,-42.85543608994825,low_r2,7.521360544217687,7.521723356009071
3,550496,12.442902494331065,13.442902494331065,150.732421875,0.07308018036720831,8.315789396480556,0.9822010821917937,-2.8358734548931324,-69.21275810736722,,12.707755102040815,12.709523809523809
4,803718,18.184897959183676,19.184897959183676,150.732421875,0.38578257500748947,10.594563793969659,0.9998466914337639,-3.4552840772162283,-365.3668602330327,,18.584897959183674,18.585260770975058
5,1085102,24.565487528344672,25.565487528344672,150.732421875,-0.07990673470884878,10.893295823361184,0.9991843825361323,-2.957247828618693,75.67804940769858,bad_zeta,24.96548752834467,24.965850340136054
6,1373243,31.099297052154196,32.09929705215419,150.732421875,0.16803522877548513,7.615158271692795,0.9997376359770231,-2.8913592603940255,-159.14276051749215,,31.499297052154194,31.499659863945578
7,1628836,36.895056689342404,37.895056689342404,150.732421875,0.1458063761077689,8.631266668914083,0.987877478540496,-1.88611849902983,-138.0902645471169,,37.09505668934241,37.09836734693878
8,1917675,43.44469387755102,44.44469387755102,150.732421875,-0.13435396745062855,6.673432326486734,0.9994798996476533,-3.4884921715352344,127.24392035159761,bad_zeta,43.844693877551016,43.8450566893424
9,2184955,49.50546485260771,50.50546485260771,150.732421875,0.14899822205840862,8.985768311436665,0.9989005062503835,-2.340697717777627,-141.11319717519146,,49.71045351473923,49.71315192743764
