Time (s),Amplitude
0.0,10535
2.267821816693997e-05,10252
4.535643633387994e-05,9748
6.803465450081991e-05,9141
9.071287266775988e-05,8456
0.00011339109083469985,7584
0.00013606930900163981,6503
0.0001587475271685798,5335
0.00018142574533551976,4249
0.00020410396350245972,3280
0.0002267821816693997,2390
0.00024946039983633967,1485
0.00027213861800327963,503
0.0002948168361702196,-567
0.0003174950543371596,-1744
0.00034017327250409956,-2959
0.0003628514906710395,-4162
0.0003855297088379795,-5330
0.00040820792700491944,-6462
0.00043088614517185946,-7495
0.0004535643633387994,-8358
0.0004762425815057394,-8991
0.0004989207996726793,-9422
0.0005215990178396193,-9749
0.0005442772360065593,-10095
0.0005669554541734992,-10462
0.0005896336723404392,-10738
0.0006123118905073792,-10822
0.0006349901086743192,-10683
0.0006576683268412592,-10388
0.0006803465450081991,-9959
0.0007030247631751391,-9310
0.000725702981342079,-8401
0.000748381199509019,-7311
0.000771059417675959,-6150
0.0007937376358428989,-4997
0.0008164158540098389,-3914
0.0008390940721767788,-2935
0.0008617722903437189,-2076
0.0008844505085106589,-1261
0.0009071287266775988,-358
0.0009298069448445388,657
0.0009524851630114788,1735
0.0009751633811784187,2848
0.0009978415993453587,4055
0.0010205198175122986,5348
0.0010431980356792386,6634
0.0010658762538461786,7703
0.0010885544720131185,8457
0.0011112326901800585,8966
0.0011339109083469984,9311
0.0011565891265139384,9558
0.0011792673446808784,9735
0.0012019455628478183,9871
0.0012246237810147585,9972
0.0012473019991816985,10061
0.0012699802173486384,10105
0.0012926584355155784,10039
0.0013153366536825183,9806
0.0013380148718494583,9299
0.0013606930900163983,8478
0.0013833713081833382,7400
0.0014060495263502782,6172
0.0014287277445172181,4914
0.001451405962684158,3710
0.001474084180851098,2519
0.001496762399018038,1324
0.001519440617184978,213
0.001542118835351918,-789
0.001564797053518858,-1707
0.0015874752716857979,-2650
0.0016101534898527378,-3676
0.0016328317080196778,-4737
0.0016555099261866177,-5751
0.0016781881443535577,-6714
0.0017008663625204979,-7604
0.0017235445806874378,-8377
0.0017462227988543778,-8995
0.0017689010170213178,-9460
0.0017915792351882577,-9812
0.0018142574533551977,-10054
0.0018369356715221376,-10139
0.0018596138896890776,-10093
0.0018822921078560176,-10042
0.0019049703260229575,-10004
0.0019276485441898975,-9864
0.0019503267623568374,-9481
0.0019730049805237776,-8838
0.0019956831986907174,-8048
0.0020183614168576575,-7169
0.0020410396350245973,-6187
0.0020637178531915375,-5061
0.002086396071358477,-3833
0.0021090742895254174,-2596
0.002131752507692357,-1398
0.0021544307258592973,-281
0.002177108944026237,757
0.002199787162193177,1765
0.002222465380360117,2787
0.002245143598527057,3847
0.002267821816693997,4967
0.002290500034860937,6038
0.002313178253027877,6988
0.002335856471194817,7829
0.0023585346893617567,8561
0.002381212907528697,9194
0.0024038911256956366,9625
0.002426569343862577,9750
0.002449247562029517,9648
0.0024719257801964567,9508
0.002494603998363397,9426
0.0025172822165303367,9379
0.002539960434697277,9269
0.0025626386528642166,9043
0.0025853168710311568,8751
0.0026079950891980965,8360
0.0026306733073650367,7796
0.0026533515255319764,7025
0.0026760297436989166,6056
0.0026987079618658563,4897
0.0027213861800327965,3572
0.0027440643981997363,2148
0.0027667426163666764,787
0.002789420834533616,-378
0.0028120990527005564,-1401
0.002834777270867496,-2392
0.0028574554890344363,-3402
0.002880133707201376,-4380
0.002902811925368316,-5280
0.0029254901435352564,-6166
0.002948168361702196,-7079
0.0029708465798691363,-7997
0.002993524798036076,-8844
0.003016203016203016,-9504
0.003038881234369956,-9914
0.003061559452536896,-10097
0.003084237670703836,-10083
0.003106915888870776,-9953
0.003129594107037716,-9747
0.003152272325204656,-9461
0.0031749505433715957,-9113
0.003197628761538536,-8695
0.0032203069797054756,-8226
0.003242985197872416,-7748
0.0032656634160393556,-7233
0.0032883416342062957,-6566
0.0033110198523732355,-5687
0.0033336980705401757,-4596
0.0033563762887071154,-3404
0.0033790545068740556,-2229
0.0034017327250409958,-1069
0.0034244109432079355,99
0.0034470891613748757,1241
0.0034697673795418154,2315
0.0034924455977087556,3325
0.0035151238158756953,4301
0.0035378020340426355,5288
0.0035604802522095753,6244
0.0035831584703765154,7150
0.003605836688543455,8041
0.0036285149067103954,8848
0.003651193124877335,9466
0.0036738713430442753,9820
0.003696549561211215,9957
0.003719227779378155,9961
0.003741905997545095,9829
0.003764584215712035,9533
0.003787262433878975,9099
0.003809940652045915,8624
0.0038326188702128548,8202
0.003855297088379795,7808
0.003877975306546735,7345
0.003900653524713675,6755
0.003923331742880615,5997
0.003946009961047555,5073
0.0039686881792144945,4023
0.003991366397381435,2853
0.004014044615548375,1633
0.004036722833715315,425
0.004059401051882254,-759
0.0040820792700491946,-1878
0.004104757488216135,-2893
0.004127435706383075,-3794
0.004150113924550014,-4597
0.004172792142716954,-5386
0.004195470360883895,-6269
0.004218148579050835,-7182
0.004240826797217774,-8023
0.004263505015384714,-8745
0.004286183233551654,-9358
0.004308861451718595,-9893
0.004331539669885534,-10286
