hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,260530,5.867709750566894,6.867709750566894,333.7646484375,0.0008631938747747636,5.181358328105111,0.999877706203574,-1.719617609040547,-1.8102083073929587,,6.267709750566894,6.268072562358277
2,437635,9.883696145124716,10.883696145124716,333.7646484375,0.0005513722215939041,4.854915803413065,0.9997358012016013,-1.873965001431789,-1.1562855172662503,,10.283696145124717,10.2840589569161
3,597017,13.497800453514738,14.497800453514738,333.7646484375,0.0007863442658581972,5.259576038105824,0.9998134001705875,-1.4934022026998126,-1.6490465979021818,,13.897800453514739,13.898163265306122
4,767613,17.36619047619048,18.36619047619048,333.7646484375,0.0007985432127354795,5.3805980582454715,0.9996936586335919,-1.3691624685212616,-1.6746290720415677,,17.766190476190477,17.76655328798186
5,946111,21.413764172335604,22.413764172335604,333.7646484375,0.00042674533700621137,4.811338742472127,0.9994497548294847,-1.948034617091259,-0.894929837623584,,21.813764172335603,21.814126984126986
6,1160508,26.275374149659864,27.275374149659864,333.7646484375,0.0008941257124325351,5.468572180614588,0.9997972827056891,-1.1069862813616376,-1.8750756229837218,,26.675374149659863,26.675736961451246
7,1440180,32.61714285714285,33.61714285714285,333.7646484375,0.0009365112321981632,4.8999337375602545,0.9995305294181067,-2.1957581728501574,-1.9639625141388855,,33.01714285714285,33.017505668934234
8,1646269,37.29036281179138,38.29036281179138,333.7646484375,0.0010288545380222594,5.675349275700254,0.9997360509457339,-1.4606705434802876,-2.1576161349764122,,37.69036281179138,37.690725623582765
9,1869633,42.35530612244898,43.35530612244898,333.7646484375,0.001096938668758519,6.083062680691133,0.9996099885568385,-1.5889125753660176,-2.3003957151634986,,42.75530612244898,42.75566893424036
10,2112858,47.870612244897956,48.870612244897956,333.7646484375,0.0009315896095758657,5.613089024649015,0.9997912833978575,-1.670469287437234,-1.9536413540645503,,48.270612244897954,48.27097505668934
11,2340936,53.04244897959183,54.04244897959183,333.7646484375,0.0009083527562077846,6.084829167905637,0.9998889687531888,-1.31203281598033,-1.9049112295423527,,53.44244897959183,53.442811791383214
12,2588584,58.65804988662131,59.65804988662131,333.7646484375,0.0009611704302414899,5.794162516856862,0.9993951676202373,-1.4297368331669633,-2.015675444983449,,59.05804988662131,59.058412698412695
13,2833271,64.20650793650795,65.20650793650795,333.7646484375,0.0009902209931761088,5.923713024097124,0.9994820961856423,-1.4928671069586004,-2.0765975296917203,,64.60650793650794,64.60687074829933
14,3075102,69.69020408163266,70.69020408163266,333.7646484375,0.001102682597841047,5.4762640743480215,0.9996217477356294,-1.2758710770734312,-2.3124413383382247,,70.09020408163265,70.09056689342404
