hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,330239,7.448412698412699,8.4484126984127,301.46484375,0.0003601877097324945,5.2839452846701,0.9999772037681985,-1.7717043884098969,-0.6822529638459359,,7.848412698412699,7.848775510204082
2,604629,13.670408163265305,14.670408163265305,301.46484375,0.0009164258623599215,7.237380877142017,0.9988097795212864,-1.4316061221563545,-1.735856732048063,,14.070408163265306,14.07077097505669
3,901020,20.391292517006804,21.391292517006804,301.46484375,0.0011623587504683652,6.706147947977766,0.9978926113579486,-1.7026602925903902,-2.201692842735433,,20.791292517006802,20.791655328798186
4,1161543,26.298843537414967,27.298843537414967,301.46484375,-5.1676222333443314e-05,6.3901015971920705,0.8401536521490817,-1.5091648279448788,0.09788300626231108,bad_zeta,26.698843537414966,26.69920634920635
5,1437383,32.553718820861675,33.553718820861675,301.46484375,0.0002756326205054373,4.974775615353845,0.991851676830577,-1.4747062630544199,-0.5220921402679708,,32.953718820861674,32.95408163265306
6,1658196,37.56081632653061,38.56081632653061,301.46484375,0.0005515044498254187,5.85575582050036,0.9925450451356559,-1.6198747581468345,-1.044637380178964,,37.96081632653061,37.961179138321995
7,1943842,44.038049886621316,45.038049886621316,301.46484375,0.0013059483706106979,7.833199404745241,0.9973109631447818,-1.5225688656331016,-2.4736744825098027,,44.438049886621314,44.4384126984127
8,2233623,50.609047619047615,51.609047619047615,301.46484375,0.0007650518185599842,5.954121655093312,0.9979800026563683,-1.471166020731592,-1.4491301524305833,,51.009047619047614,51.009410430839
9,2532128,57.377868480725624,58.377868480725624,301.46484375,0.0013063686125001598,6.075568384345332,0.9999985123780882,-1.6239384765202949,-2.4744704876673094,,57.77786848072562,57.778231292517006
10,2787936,63.178503401360544,64.17850340136054,301.46484375,0.0008211979440175685,5.639011745528078,0.9999752515336358,-1.3586252893285868,-1.5554798680562267,,63.57850340136054,63.578866213151926
