hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,66,0.01,1.01,10.7666015625,nan,23.341583652735082,nan,nan,nan,bad_zeta,0.41,1.01
2,292754,6.598412698412698,7.598412698412698,301.46484375,-0.00018815258187413283,7.752264299295173,0.9516683746171447,-2.1043604435501733,0.35639099605655283,bad_zeta,6.998412698412698,6.998775510204082
3,637063,14.405873015873016,15.405873015873016,301.46484375,-0.0006369580303863385,6.851538102268205,0.9951488493628343,-2.001148662961345,1.2065000896318605,bad_zeta,14.805873015873017,14.8062358276644
4,966704,21.88072562358277,22.88072562358277,301.46484375,0.0016000790987633112,8.011077058313305,0.9959934615056063,-2.6777726452572823,-3.0308049886820405,,22.280725623582768,22.28108843537415
5,1217338,27.56403628117914,28.56403628117914,301.46484375,-0.0006519860378479722,5.662032459764713,0.9974358413336487,-2.1545806658227207,1.234965532383955,bad_zeta,27.964036281179137,27.96439909297052
6,1495784,33.87800453514739,34.87800453514739,301.46484375,-0.00021376466080107051,8.090596943472155,0.9302399120622115,-2.273308305001477,0.4049043580786409,bad_zeta,34.27800453514739,34.27836734693877
7,1805525,40.90160997732426,41.90160997732426,301.46484375,-0.00020076676468625923,5.925792247885679,0.9991953025798219,-2.2978186355820553,0.3802842699732539,bad_zeta,41.30160997732426,41.301972789115645
8,2060233,46.677301587301585,47.677301587301585,301.46484375,0.0005973654162408933,9.070985238307681,0.9740581401600893,-2.0799211316299684,-1.1315053643337651,,47.077301587301584,47.07766439909297
9,2310777,52.35857142857142,53.35857142857142,301.46484375,-0.0003622922414124492,10.895983654858398,0.9633339699651671,-2.512389112304178,0.6862392824719188,bad_zeta,52.75857142857142,52.758934240362805
10,2596595,58.8397052154195,59.8397052154195,301.46484375,-0.00014805956613300267,5.928691918472623,0.9833331999038356,-1.9809466228564911,0.2804484303337444,bad_zeta,59.2397052154195,59.24006802721088
11,2846583,64.50836734693878,65.50836734693878,301.46484375,-0.00041810175952724637,9.622828019740755,0.9994482842258174,-2.2011021426290083,0.7919514101092343,bad_zeta,64.90836734693877,64.90873015873017
12,3115374,70.60340136054423,71.60340136054423,301.46484375,0.0006532325396445347,8.85182968964058,0.9779427173677695,-2.2492017768784076,-1.2373266055748635,,71.00340136054422,71.00376417233561
