hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,194149,4.362471655328798,5.362471655328798,333.7646484375,0.00021676578829241957,5.859752640018444,0.9742305646593195,-2.21278166752561,-0.45458064774603424,,4.762471655328798,4.762834467120181
2,418842,9.457551020408163,10.457551020408163,333.7646484375,-0.0001513604955152716,3.1412819930064617,0.9818120086123794,-1.8527014751107038,0.31741887239915084,bad_zeta,9.857551020408163,9.857913832199547
3,665767,15.056757369614512,16.056757369614512,333.7646484375,0.00039492091697150024,5.832000925127384,0.9928071208522201,-1.9840958828106368,-0.8281906829466246,,15.456757369614513,15.457120181405896
4,935418,21.171292517006805,22.171292517006805,333.7646484375,0.00013256036894130502,5.923465027222513,0.9321129551287407,-1.6252489266522847,-0.2779930304200085,low_r2,21.571292517006803,21.571655328798187
5,1239109,28.057709750566897,29.057709750566897,333.7646484375,-1.9477745584358602e-05,4.251102336262187,0.28173245736154406,-1.7043953934688456,0.040846880285489356,bad_zeta,28.457709750566895,28.45807256235828
6,1559386,35.32022675736961,36.32022675736961,333.7646484375,-0.00015146259829589288,4.816786878999153,0.9525147049745071,-2.004592493385706,0.31763299266470163,bad_zeta,35.72022675736961,35.72058956916099
7,1869754,42.358049886621316,43.358049886621316,333.7646484375,0.0004148122888206707,5.5398498213537595,0.9952316087851303,-1.9232711542033691,-0.8699049809960707,,42.758049886621315,42.7584126984127
8,2116805,47.9601133786848,48.9601133786848,333.7646484375,3.404933052786617e-05,5.500020879618658,0.49053074841051014,-2.0270961961031744,-0.07140502589733393,low_r2,48.3601133786848,48.360476190476184
9,2433281,55.13643990929705,56.13643990929705,333.7646484375,0.00045326997847729193,5.771811241137659,0.9938022138024422,-1.7099941379373647,-0.9505547994597632,,55.53643990929705,55.536802721088435
10,2757546,62.48938775510204,63.48938775510204,333.7646484375,0.00010640952676960968,6.304282247742924,0.8816804496666253,-1.990455509333975,-0.2231519650140738,low_r2,62.889387755102035,62.88975056689342
